Date,Open,Close,High,Low,Volume,MA1,MA2
2008-04-30,123.3400,120.7000,123.5000,120.5000,8133239,116.9100,111.9820
2008-05-01,121.0600,123.6100,124.4300,121.0600,8234159,117.2250,112.0460
2008-05-02,123.3000,123.1800,124.0000,121.7600,6918246,117.5500,112.1070
2008-05-05,122.2900,122.0300,123.2500,121.7400,6362742,117.8300,112.1380
2008-05-06,121.5000,122.8200,123.3400,120.7800,5912290,118.0840,112.1780
2008-05-07,122.7800,124.1400,124.9800,122.4100,11407275,118.2800,112.2160
2008-05-08,124.2000,124.9200,125.1700,123.7000,9794981,118.4490,112.2600
2008-05-09,124.3700,124.0600,124.6500,123.6300,5502510,118.6250,112.2900
2008-05-12,123.8200,125.2400,125.9900,123.5600,8673622,118.8530,112.3330
2008-05-13,125.1200,126.5800,126.7000,125.0300,9696838,119.1000,112.3880
2008-05-14,126.5200,127.5200,128.8300,126.2000,8889371,119.3360,112.4530
2008-05-15,127.3300,128.4600,128.6800,126.9000,6671992,119.5970,112.5420
2008-05-16,128.4600,127.8200,128.4750,126.8000,6374254,119.9030,112.6210
2008-05-19,127.6800,126.4900,128.2100,126.0500,6388408,120.1540,112.6880
2008-05-20,126.0500,125.1800,126.0500,124.4500,7018151,120.3780,112.7540
2008-05-21,125.0500,123.6200,126.4000,123.0200,8338688,120.5200,112.8030
2008-05-22,123.5500,124.7000,125.3500,123.5500,5034269,120.6730,112.8580
2008-05-23,124.3500,124.2000,124.9100,123.7700,4702072,120.8390,112.9150
2008-05-27,124.0100,127.3200,127.3800,124.0000,6991779,121.0810,112.9980
2008-05-28,127.5000,129.5400,129.5400,126.9900,9876465,121.3600,113.0820
2008-05-29,128.7600,129.7100,129.9900,128.6600,7564762,121.5860,113.1670
2008-05-30,129.2200,129.4300,129.9900,128.8000,8655979,121.8360,113.2540
2008-06-02,128.4900,127.3600,129.3700,126.7000,7603133,122.0170,113.3340
2008-06-03,127.4700,127.8400,129.0000,127.4600,7243054,122.1920,113.4250
2008-06-04,127.8700,127.5500,128.5000,126.4500,6433094,122.3840,113.5080
2008-06-05,127.4100,128.4700,129.0400,127.2000,6153974,122.6150,113.6040
2008-06-06,127.7700,124.9400,128.1400,124.7400,7887442,122.8040,113.6840
2008-06-09,125.3800,125.8600,126.1800,124.0600,5586306,123.0290,113.7630
2008-06-10,124.8800,125.9400,126.7220,124.6300,5384646,123.2450,113.8360
2008-06-11,125.9000,123.2500,125.9000,122.8600,7207902,123.3810,113.8860
2008-06-12,123.8500,123.8500,125.0900,123.1300,6748798,123.5610,113.9380
2008-06-13,124.4200,126.1500,126.5700,124.1500,6381614,123.7640,114.0080
2008-06-16,125.4600,126.7100,127.1400,124.6470,6281643,123.9830,114.0690
2008-06-17,127.1000,125.1000,127.1000,124.6200,5278705,124.1590,114.1180
2008-06-18,124.5500,124.1600,125.4310,123.7000,6616559,124.3170,114.1550
2008-06-19,123.6700,125.0200,125.6200,122.3600,7573759,124.4820,114.1890
2008-06-20,124.8100,122.7400,125.0200,122.5000,9625365,124.5610,114.2140
2008-06-23,123.0000,123.4600,124.5000,122.4000,5863674,124.7100,114.2430
2008-06-24,123.0800,123.4600,124.2500,121.9000,7553500,124.8340,114.2820
2008-06-25,123.6700,124.5800,125.8300,123.2000,7135391,124.9820,114.3260
2008-06-26,123.4300,121.1300,123.8200,120.7600,9711304,124.9950,114.3450
2008-06-27,121.0200,120.0500,122.0500,118.2600,11661415,124.9340,114.3650
2008-06-30,120.0300,118.5300,120.2200,118.1500,8445839,124.8170,114.3780
